Parcelle;Annee;AETCY;AGRRE;ALLSS;ALOMY;AMASS;ANGAR;APHAR;ARBTH;ARISE;ATHOR;ATXPA;AVEFA;BIDTR;BROSPP;CAGSE;CAPBP;CENCY;CHEAL;CHEHY;CHEPO;CHNMI;CIRAR;CIRVU;CONAR;COPSQ;DAUCA;ECHCG;EPHEX;EPHHE;EQUAR;EROCI;ERPVE;FESSPP;FUMOF;GALAP;GERCO;GERDI;GERMO;GERPU;GERRT;HOLMO;HYPPE;KICSP;LACSE;LAMAM;LAPCO;LEGSPP;LOLSS;LTHTU;MALSI;MATSPP;MEDSPP;MELAL;MENSU;MERAN;MYOAR;PAPRH;PAVSA;PICHI;PLALA;PLAMA;POAAN;POLAV;POLCO;POLLA;POLPE;RAPRA;RESLU;RUMCR;SCAPV;SENVU;SETPU;SETVI;SILVU;SINAR;SOLNI;SONAR;SONAS;STEME;TAROF;TOISPP;TRFPR;VERAR;VERHE;VERPE;VERPO;VICSA;VIOSS;VLLSS
11228;2008;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11228;2009;11,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0
11228;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0,50025;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0,50025;0
11228;2011;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11209;2008;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;1,5;0
11209;2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0
11209;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0,50025;0;0;1,5;0
11209;2011;0,0005;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;1,5;0
11208;2008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0,50025;0;0;0;0,50025;0
11208;2009;0,50025;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0,50025;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;1,5;0
11208;2010;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0,50025;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0,50025;0;0;0;0,50025;0,50025;0;0;35,5;0
11208;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0,50025;0
11134;2008;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0
11134;2009;0;0;0;0;0;0;1,5;0,0005;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0
11134;2010;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0,50025;0;0;0,50025;0
11134;2011;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0,0005;0;0;0;1,5;0
11127;2008;0,50025;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;1,5;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0,0005;0,0005;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,5;11,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35,5;0
11127;2009;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,5;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0,50025;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,5;0
11127;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0
11127;2011;0,50025;0;0;0,0005;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0,50025;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0,50025;0,50025;0;0;0;0;0;0;0;0;0;0;0;0,50025;0
11120;2008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0,50025;0,0005;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0
11120;2009;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0,50025;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,5;0
11120;2010;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0,50025;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;1,5;0;0;0;0;0;0;0;0;0;0;0,50025;0,50025;0;0;0;0;0;0;0;0;0;0;0;75,5;0
11120;2011;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0,0005;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0
11113;2008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0
11113;2009;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0,0005;0,50025;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0,50025;0;0;0;0;0;0;0;0,50025;0,50025;0;0,50025;0;0;0;0;0;0;0;0;0;0,50025;0;0,50025;0;0;0;0;0;0;0;0;0;0,50025;0
11113;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0,50025;1,5;0;0;0;0;0;0;0;0;0;0;0,50025;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0
11113;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11107;2008;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11107;2009;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11107;2010;11,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,5;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0,50025;0;0;0;0;0;0;0;0,50025;0
11107;2011;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11104;2008;0;0;0;0;0;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;11,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0,50025;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0,50025;0;0;0;0;0;0;0;0;0;0,50025;0
11104;2009;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0,50025;0
11104;2010;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0,50025;0
11104;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0,50025;0,0005;0;1,5;0
11097;2008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0
11097;2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;11,5;0
11097;2010;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0,50025;0,0005;0,50025;0;0;35,5;0
11097;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0
11086;2008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0,50025;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0,0005;0
11086;2009;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;1,5;0,50025
11086;2010;0,50025;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;1,5;0,50025;0;0;0;0,50025;0,0005;0;0;0;0;0;0;0;0;0;0;0,50025;1,5;0;0,50025;0;0,50025;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;11,5;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0,50025;0;0;0;0,50025;0
11086;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11082;2008;0;0;0;0;75,5;0,50025;0;0;0;0;0;0;0;0;0;0;0;75,5;0;0;1,5;1,5;0;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,5;0;1,5;0;0;0;0;0,50025;0;0;0;0,50025;0,50025;0;0;0;0;0;0;0;0;0;0;0;0,50025;0
11082;2009;0;0;0;0;35,5;0,50025;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0,50025;0,50025;0;0,50025;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0
11082;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;1,5;0;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;1,5;0,50025;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0
11082;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0,50025;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0
11074;2008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11074;2009;0;0;0;0;0;0;0;0;0;0;0;0;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11074;2010;0,50025;0;0;0,50025;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11074;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0
